  i          x            density        pressure        velocity
 359   6.4569139E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 360   6.4749503E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 361   6.4929862E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 362   6.5110226E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 363   6.5290585E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 364   6.5470943E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 365   6.5651307E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 366   6.5831666E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 367   6.6012030E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 368   6.6192389E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 369   6.6372747E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 370   6.6553111E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 371   6.6733470E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 372   6.6913829E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 373   6.7094193E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 374   6.7274551E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 375   6.7454915E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 376   6.7635274E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 377   6.7815633E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 378   6.7995996E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 379   6.8176355E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 380   6.8356719E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 381   6.8537078E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 382   6.8717437E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 383   6.8897800E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 384   6.9078159E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 385   6.9258518E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 386   6.9438882E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 387   6.9619241E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 388   6.9799604E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 389   6.9979963E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 390   7.0160322E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 391   7.0340686E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 392   7.0521045E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 393   7.0701408E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 394   7.0881767E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 395   7.1062126E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 396   7.1242490E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 397   7.1422849E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 398   7.1603212E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 399   7.1783571E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 400   7.1963930E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 401   7.2144294E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 402   7.2324653E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 403   7.2505012E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 404   7.2685375E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 405   7.2865734E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 406   7.3046098E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 407   7.3226457E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 408   7.3406816E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 409   7.3587179E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 410   7.3767538E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 411   7.3947902E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 412   7.4128261E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 413   7.4308619E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 414   7.4488983E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 415   7.4669342E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 416   7.4849701E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 417   7.5030065E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 418   7.5210423E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 419   7.5390787E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 420   7.5571146E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 421   7.5751505E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 422   7.5931869E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 423   7.6112227E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 424   7.6292591E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 425   7.6472950E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 426   7.6653309E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 427   7.6833673E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 428   7.7014031E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 429   7.7194395E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 430   7.7374754E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 431   7.7555113E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 432   7.7735476E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 433   7.7915835E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 434   7.8096194E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 435   7.8276558E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 436   7.8456917E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 437   7.8637280E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 438   7.8817639E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 439   7.8997998E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 440   7.9178362E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 441   7.9358721E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 442   7.9539084E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 443   7.9719443E+00   3.9999983E-03   5.1557808E-04   6.2183881E-01
 444   7.9899802E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 445   8.0080166E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 446   8.0260525E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 447   8.0440884E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 448   8.0621243E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 449   8.0801611E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 450   8.0981970E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 451   8.1162329E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 452   8.1342688E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 453   8.1523046E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 454   8.1703415E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 455   8.1883774E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 456   8.2064133E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 457   8.2244492E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 458   8.2424850E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 459   8.2605219E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 460   8.2785578E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 461   8.2965937E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 462   8.3146296E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 463   8.3326654E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 464   8.3507023E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 465   8.3687382E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 466   8.3867741E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 467   8.4048100E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 468   8.4228458E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 469   8.4408817E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 470   8.4589186E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 471   8.4769545E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 472   8.4949903E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 473   8.5130262E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 474   8.5310621E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 475   8.5490990E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 476   8.5671349E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 477   8.5851707E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 478   8.6032066E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 479   8.6212425E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 480   8.6392794E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 481   8.6573153E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 482   8.6753511E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 483   8.6933870E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 484   8.7114229E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 485   8.7294598E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 486   8.7474957E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 487   8.7655315E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 488   8.7835674E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 489   8.8016033E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 490   8.8196402E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 491   8.8376760E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 492   8.8557119E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 493   8.8737478E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 494   8.8917837E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 495   8.9098206E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 496   8.9278564E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 497   8.9458923E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 498   8.9639282E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 499   8.9819641E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
 500   9.0000000E+00   1.0000000E-03   6.6666672E-11   0.0000000E+00
